_id,_info,_model,cabriolet,city,country,info,make,mileage,model,post_time,price,state,transmission,turbo,year,color
454,2011 Porsche Cayman S Street/Track - Manual - BBi Build,Cayman S,FALSE,Los Angeles,90036,2011 Porsche Cayman S Street/Track - Manual - BBi Build,Porsche,27000,Cayman,2020-02-15T00:59:00.000Z,55000,CA,Manual,FALSE,2011,black
455,2011 White 997.2 911 Turbo 19k miles PDK Sport Chrono,Turbo,FALSE,Pittsburgh,15211,"2011 White 997.2 911 Turbo, 19k miles, PDK, Sport Chrono",Porsche,18800,911,2020-02-14T18:11:00.000Z,86000,PA,Automatic,TRUE,2011,white
456,2005 Porsche 997.1 with modifications.  Help me fund my next toy car!,unknown,FALSE,Apple Valley,55124,2005 Porsche 997.1 with modifications.  Help me fund my next toy car!,Porsche,62550,911,2020-02-14T17:09:00.000Z,30150,MN,Manual,FALSE,2005,blue
457,Immaculate 2010 997.2 C2S 6MT (130 Images + Video. Low Mileage. OEM GT3 add-ons etc),GT3,FALSE,Sanford,27332,"Immaculate 2010 997.2 C2S 6MT (130 Images + Video. Low Mileage. OEM GT3 add-ons, etc)",Porsche,29500,911,2020-02-14T03:38:00.000Z,64000,NC,Manual,FALSE,2010,silver
458,2011 Porsche 911 GTS Cabriolet,Carrera GTS,TRUE,Diablo,94528,2011 Porsche 911 GTS Cabriolet,Porsche,14600,911,2020-02-14T01:11:00.000Z,74500,CA,Automatic,FALSE,2011,black
459,2006 997 Guards Red 911 C2S Manual Transmission Sport Exhaust (PSE),Carrera S,FALSE,Oakland Township,48363,"2006 997 Guards Red 911 C2S Manual Transmission, Sport Exhaust (PSE)",Porsche,42655,911,2020-02-13T23:15:00.000Z,44500,MI,Manual,FALSE,2006,red
460,2005 996 C4S - Cinnamon Brown Special Leather Sport Exhaust and more,Carrera 4S,FALSE,Dallas,75204,"2005 996 C4S - Cinnamon Brown Special Leather, Sport Exhaust and more",Porsche,36144,911,2020-02-12T21:37:00.000Z,44900,TX,Automatic,FALSE,2005,white
461,2007 997.1 Porsche 911 Turbo - 6MTPCCBSport ChronoGT Silver MetallicAll Records,Turbo,FALSE,Danville,94506,"2007 997.1 Porsche 911 Turbo - 6MT,PCCB,Sport Chrono,GT Silver Metallic,All Records",Porsche,45343,911,2020-02-12T03:35:00.000Z,73999,CA,Manual,TRUE,2007,silver
462,2009 997 Turbo Cream White Cabriolet with Tiptronic,Turbo,TRUE,Brookings,57006,2009 997 Turbo Cream White Cabriolet with Tiptronic,Porsche,50900,911,2020-02-11T22:39:00.000Z,62500,SD,Automatic,TRUE,2009,white
463,2012 Carrera GTS 997.2 Race Car,Carrera GTS,FALSE,Newport Beach,92625,2012 Carrera GTS 997.2 Race Car,Porsche,47395,911,2020-02-10T03:08:00.000Z,88990,CA,Automatic,FALSE,2012,white
464,2010 Porsche 911 S ( 997.2 S ) PDK with Sharkwerks exhaust and Fister mufflers,Carrera S,FALSE,Houston,77096,2010 Porsche 911 S ( 997.2 S ) PDK with Sharkwerks exhaust and Fister mufflers,Porsche,53879,911,2020-02-09T23:54:00.000Z,53125,TX,Automatic,FALSE,2010,black
465,'08 Cayman,Cayman,FALSE,Bowling Green,42123,'08 Cayman,Porsche,41300,Cayman,2020-02-08T00:36:00.000Z,22500,KY,Manual,FALSE,2008,black
466,2005 Porsche 997 Carrera Coupe,Carrera,FALSE,Las Vegas,89134,2005 Porsche 997 Carrera Coupe,Porsche,71000,911,2020-02-07T04:07:00.000Z,29900,NV,Manual,FALSE,2005,silver
