album,trackindex,track,albumart_url,,,
Thank You for Today,2,Summer Years,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,3,Gold Rush,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,4,Your Hurricane,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,5,When We Drive,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,6,Autumn Love,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,7,Northern Lights,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,8,You Moved Away,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,9,Near/Far,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Thank You for Today,10,60 & Punk,https://upload.wikimedia.org/wikipedia/en/1/15/Tyftdeathcab.jpg,,,
Home Volume V,1,You Remind Me of Home,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,2,Carolina,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,3,Farmer Chords,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,4,Choir Vandals,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,5,Hometown Fantasy,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,6,Secrets of the Heart,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,7,Church Mouse in the Church House,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Home Volume V,8,Line of Best Fit,https://upload.wikimedia.org/wikipedia/en/a/a1/Home_volume_v.gif,,,
Former Lives,1,Shepherd's Bush Lullaby,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
Former Lives,2,Dream Song,https://upload.wikimedia.org/wikipedia/en/8/84/Benjamin_Gibbard_Former_Lives_cover.jpg,,,
